RM_MS0_R,RM_MS0_M,RM_BSK21_R,RM_BSK21_M,RM_ENG_R,RM_ENG_M,RM_APR_R,RM_APR_M,RM_WFF1_R,RM_WFF1_M,MI_MS0_M,MI_MS0_I,MI_BSK21_M,MI_BSK21_I,MI_ENG_M,MI_ENG_I,MI_APR_M,MI_APR_I,MI_WFF1_M,MI_WFF1_I
200.0,2.760234032846121e-10,200.0,2.0864278245314727e-05,200.0,2.7466043620758426e-10,200.0,4.5330467603255577e-10,200.0,2.711116285087628e-10,1.668946555259995,2.636255294216005,1.6418544574391156,1.963761482452493,1.5753043338469865,1.722027848301713,1.4256102249810956,1.3573394995821395,1.5951174577191811,1.4070136732558471
200.0,2.808669334414523e-10,200.0,2.1093103639815347e-05,200.0,2.793998481965333e-10,200.0,4.609088046949561e-10,200.0,2.7570770245963873e-10,1.7230203581702472,2.755272931734746,1.6794831592672488,2.025194385064508,1.607496205683651,1.7703684190201132,1.4629677311236362,1.408244028870454,1.6364522926534961,1.4612658400720784
200.0,2.8579545076557704e-10,200.0,2.1324443360962213e-05,200.0,2.842687861393439e-10,200.0,4.686404913399928e-10,200.0,2.804275079202908e-10,1.7773569319835243,2.8763595251777696,1.713428450887975,2.0805850030080806,1.63899076072073,1.8175275574199337,1.498822596695294,1.457426937514517,1.6768284246094152,1.514736623985094
200.0,2.908104464421952e-10,200.0,2.155832267181228e-05,200.0,2.8922256741082814e-10,200.0,4.765018757240472e-10,200.0,2.852281065296581e-10,1.8318318327607177,2.9991944063948504,1.7466532866167246,2.134634389410101,1.669767943321246,1.8633997103171902,1.5340507831153691,1.5059614855735595,1.7141284191395056,1.5645002293856698
200.0,2.959134378204363e-10,200.0,2.1794749146761513e-05,200.0,2.942626703979168e-10,200.0,4.844951334972675e-10,200.0,2.90110881254836e-10,1.88468256152998,3.1196873985784546,1.77912801231649,2.18720713461907,1.6998100952226174,1.9078945542563142,1.5686123333786297,1.5537022184687712,1.748221080059998,1.6101771778436953
200.0,3.0110596887243645e-10,200.0,2.203378979610423e-05,200.0,2.9939059924790125e-10,200.0,4.926224768056668e-10,200.0,2.9507723873533213e-10,1.9352882328460257,3.2361227034035718,1.810825254931103,2.238178859945026,1.7290999277018522,1.9509291850900121,1.6024718455746831,1.600521856197804,1.781101312345322,1.6542908926116608
200.0,3.063896106603926e-10,200.0,2.2275440329197457e-05,200.0,3.04607884317308e-10,200.0,5.00886154903316e-10,200.0,3.0012860968824776e-10,1.9854440389979833,3.352386136916608,1.8417237862534903,2.287453259971648,1.7576242637579609,1.9924361296309703,1.635596566663078,1.6463046149573233,1.8127309866428833,1.6966890510014494
200.0,3.117659618119439e-10,200.0,2.2519751779524794e-05,200.0,3.099160826285012e-10,200.0,5.092884547748167e-10,200.0,3.052664493204181e-10,2.0350564835082925,3.4681123661579605,1.8718037170660409,2.3349426837973506,1.7853692776931016,2.0323518507532055,1.6679553739938293,1.69094298167466,1.8430832485368358,1.7372502985397515
200.0,3.172366490037948e-10,200.0,2.2766723810827005e-05,200.0,3.153167783343927e-10,200.0,5.178317017682314e-10,200.0,3.104922377475938e-10,2.0840379243773386,3.5829607953376783,1.9010462502961087,2.380567603156419,1.8116770276737997,2.069708486233149,1.6995191485418233,1.734338009696767,1.8706423898823108,1.7738922602048002
200.0,3.2280332745379865e-10,200.0,2.3016406573194773e-05,200.0,3.208115831911462e-10,200.0,5.265182602385963e-10,200.0,3.15807480420821e-10,2.1323009023453587,3.696589518272643,1.9285540793091822,2.422911083274242,1.8352203419268296,2.102618923218579,1.7302601879098134,1.776397264981952,1.8953858671082335,1.8064947070538924
200.0,3.284676814218524e-10,200.0,2.3268836902714523e-05,200.0,3.264021370391686e-10,200.0,5.353505342022509e-10,200.0,3.2121370856007305e-10,2.17652244034328,3.80098136581837,1.9538396761418113,2.461196091183145,1.8579094224028434,2.1337226459754945,1.760152387481986,1.8170350761501417,1.9188791177473965,1.8370503065137007
200.0,3.3423142471933894e-10,200.0,2.3524026877018108e-05,200.0,3.3209010829242993e-10,200.0,5.443309680021486e-10,200.0,3.2671247959537973e-10,2.218507355533842,3.900065286867043,1.9782101755068973,2.4973647045789877,1.8797437901606324,2.1629733341350805,1.789171522112484,1.8561729445991852,1.9411260914865098,1.8655026674033206
200.0,3.4009630122770157e-10,200.0,2.3782028401854707e-05,200.0,3.378771944363735e-10,200.0,5.534620469842968e-10,200.0,3.3230537761543486e-10,2.2594078805266458,3.996346033585331,2.0016581500155897,2.5313548129796133,1.9007221748490855,2.1903347357213456,1.8172949447717526,1.8937383659717937,1.9621379863615305,1.8918212595200423
200.0,3.460640854259136e-10,200.0,2.4042835697482123e-05,200.0,3.4376512253447475e-10,200.0,5.627462981856003e-10,200.0,3.3799401382389924e-10,2.299178861429358,4.0895444273229815,2.0241811279347894,2.563127029665662,1.9208483575086845,2.215789778681293,1.8445018388376206,1.9296654698010025,1.981531908297093,1.9155131992744543
