II_epsilon_1e-3,time,II_epsilon_5e-4,II_epsilon_1e-4,III_alpha_0.1,III_alpha_0.05,III_alpha_0.01,I
42.411919352504306,248.04804805278658,42.32426313739331,42.16620546822542,42.495432086171476,42.350872692285904,42.16950960568213,42.15174226394649
42.40954251735289,248.4684684731954,42.32159882864235,42.163360227775655,42.492830755174246,42.34812588336953,42.16666063010024,42.1488858421018
42.4071684833138,248.88888889360422,42.318938337762724,42.16051948559305,42.49023286792566,42.34538313257435,42.1638161626177,42.14603396144025
42.40479724550688,249.30930931401306,42.31628165474415,42.15768322792052,42.48763841676174,42.34264442874441,42.16097618942786,42.14318660796927
42.40242879901073,249.72972973442188,42.31362876964872,42.15485144110614,42.4850473940596,42.339909760797134,42.15814069682849,42.140343767797916
42.40006313900241,250.15015015483075,42.3109796726275,42.15202411161496,42.48245979224582,42.3371791178266,42.1553096712388,42.137505427167916
42.397700260646765,250.57057057523957,42.30833435380542,42.14920122587197,42.47987560370129,42.33445248889724,42.15248309904231,42.134671572285676
42.39534015909731,250.99099099564842,42.30569280335629,42.14638277036421,42.477294820830075,42.33172986307397,42.149660966690114,42.13184218941794
42.39298282955826,251.41141141605723,42.3030550115672,42.14356873173898,42.474717436128934,42.329011229561225,42.146843260799805,42.1290172649884
42.3906282671962,251.83183183646605,42.30042096869506,42.14075909661872,42.47214344207035,42.32629657752974,42.144029967967846,42.12619678538728
42.38827646715824,252.2522522568749,42.297790664988135,42.13795385165826,42.46957283113784,42.32358589615209,42.141221074825765,42.12338073702803
42.385927424641686,252.67267267728374,42.295164090739895,42.1351529837,42.467005595920064,42.320879174735886,42.13841656819309,42.12056910650496
42.3835811348192,253.0930930976926,42.29254123625747,42.132356479579656,42.46444172895161,42.318176402564504,42.135616434877726,42.11776188039905
42.381237592849466,253.5135135181014,42.289922091894354,42.12956432613839,42.46188122270967,42.315477568910694,42.13282066168471,42.11495904529339
42.378896793965104,253.93393393851022,42.287306648118246,42.12677651040653,42.45932406974724,42.31278266319945,42.13002923559466,42.11216058796616
42.37655873339226,254.35435435891907,42.28469489538559,42.12399301941105,42.45677026264939,42.310091674857716,42.12724214355842,42.109366495205514
42.374223406333094,254.77477477932794,42.28208682412762,42.121213840146716,42.45421979401042,42.30740459329627,42.12445937246797,42.10657675378663
42.371890808035666,255.19519519973676,42.27948242489927,42.11843895976839,42.45167265648974,42.30472140808171,42.12168090936901,42.10379135067895
42.36956093368308,255.61561562014558,42.276881688252494,42.115668365383925,42.449128842739945,42.30204210878982,42.11890674141706,42.10101027287339
42.367233778408504,256.0360360405544,42.27428460469796,42.11290204406147,42.446588345376036,42.299366684952524,42.11613685579114,42.0982335073253
42.36490933748785,256.45645646096324,42.27169116486715,42.11013998318801,42.44405115709761,42.296695126218445,42.11337123976849,42.09546104116206
42.36258760617822,256.8768768813721,42.26910135940495,42.1073821701464,42.44151727060052,42.2940274221981,42.110609880662224,42.0926928615172
42.36026857967865,257.29729730178093,42.26651517891978,42.10462859223491,42.43898667853595,42.29136356245483,42.10785276575927,42.08992895544396
42.35795225325557,257.7177177221898,42.26393261415321,42.101879236948676,42.436459373659055,42.28870353680054,42.10509988251587,42.087169310122086
42.35563862216231,258.13813814259856,42.26135365587257,42.09913409181513,42.4339353487412,42.286047335039655,42.102351218415805,42.08441391287027
42.35332768160349,258.5585585630074,42.258778294808515,42.09639314430996,42.43141459651771,42.283394946897786,42.09960676089081,42.08166275102305
